Crime	189	998.8253968253969	57.925925925925924	734.3597883597884	57.925925925925924	175.65608465608466	51.67195767195767	12.433862433862434	
Drama	548	1014.2536496350365	56.78649635036496	757.6021897810219	56.78649635036496	164.87408759124088	49.715328467153284	16.965328467153284	
Comedy	322	1039.4658385093169	49.214285714285715	788.9285714285714	49.214285714285715	170.85403726708074	43.92857142857143	13.577639751552795	
Action	272	897.125	60.98529411764706	608.9301470588235	60.98529411764706	192.63235294117646	50.419117647058826	16.205882352941178	
Biography	3	1007.0	93.0	806.3333333333334	93.0	101.66666666666667	69.33333333333333	9.0	
Fantasy	91	910.6703296703297	61.505494505494504	603.4285714285714	61.505494505494504	209.63736263736263	52.42857142857143	19.78021978021978	
Short	3	184.66666666666666	21.0	124.66666666666667	21.0	31.0	15.0	7.666666666666667	
Western	13	893.7692307692307	70.92307692307692	602.9230769230769	70.92307692307692	177.92307692307693	49.07692307692308	49.61538461538461	
Mystery	100	983.41	53.99	691.91	53.99	199.25	53.06	15.99	
Music	5	964.6	86.8	780.6	86.8	91.2	68.8	7.8	
Sport	2	1327.5	194.0	389.5	194.0	663.5	92.5	4.0	
Horror	136	811.3014705882352	53.24264705882353	540.5220588235294	53.24264705882353	178.99264705882354	45.00735294117647	22.74264705882353	
Animation	29	828.9310344827586	41.37931034482759	644.0344827586207	41.37931034482759	117.37931034482759	31.93103448275862	12.172413793103448	
Film-Noir	4	985.5	0.0	863.5	0.0	84.5	33.0	4.5	
Musical	19	776.5263157894736	25.842105263157894	619.7894736842105	25.842105263157894	104.42105263157895	27.05263157894737	13.68421052631579	
Family	32	857.59375	37.25	655.6875	37.25	142.21875	26.5	8.53125	
Adventure	146	906.6369863013699	61.32876712328767	618.3904109589041	61.32876712328767	191.97260273972603	50.13013698630137	17.273972602739725	
Romance	180	1083.65	53.772222222222226	809.0555555555555	53.772222222222226	175.67777777777778	54.455555555555556	22.272222222222222	
History	3	992.0	32.333333333333336	800.3333333333334	32.333333333333336	109.66666666666667	75.66666666666667	0.3333333333333333	
Thriller	349	917.8309455587392	59.91690544412607	636.6504297994269	59.91690544412607	184.40114613180515	47.75644699140401	19.607449856733524	
Sci-Fi	136	910.3308823529412	70.2720588235294	606.9852941176471	70.2720588235294	194.36029411764707	52.029411764705884	17.61764705882353	
War	25	948.92	62.04	611.92	62.04	233.52	55.92	23.08	
