|Thriller	|	352	|	135.3068181818182	|	1265.7443181818182	|	626.7755681818181	|	574.9005681818181	|	25.980113636363637	|	216.2528409090909	|	86.00568181818181	|	
|Crime	|	193	|	135.06735751295338	|	1352.3108808290156	|	656.1243523316062	|	620.7253886010362	|	18.33160621761658	|	185.66839378238342	|	93.48704663212435	|	
|Action	|	272	|	145.3235294117647	|	1240.4411764705883	|	621.0735294117648	|	538.4632352941177	|	26.283088235294116	|	207.8566176470588	|	89.86397058823529	|	
|Adventure	|	143	|	135.95804195804195	|	1201.8461538461538	|	574.006993006993	|	546.6223776223776	|	19.321678321678323	|	181.020979020979	|	80.64335664335664	|	
|Animation	|	24	|	83.41666666666667	|	1190.7916666666667	|	466.0833333333333	|	674.7083333333334	|	18.958333333333332	|	116.875	|	47.916666666666664	|	
|Sci-Fi	|	140	|	142.3357142857143	|	1161.192857142857	|	606.5571428571428	|	471.8285714285714	|	23.65714285714286	|	202.9142857142857	|	79.13571428571429	|	
|Musical	|	14	|	96.21428571428571	|	1388.9285714285713	|	712.6428571428571	|	606.2857142857143	|	27.0	|	208.42857142857142	|	71.57142857142857	|	
|Comedy	|	310	|	114.3741935483871	|	1370.3806451612904	|	581.9193548387096	|	720.3225806451613	|	20.24516129032258	|	174.32903225806453	|	78.8258064516129	|	
|Short	|	3	|	39.0	|	269.3333333333333	|	138.33333333333334	|	118.0	|	8.333333333333334	|	32.666666666666664	|	25.666666666666668	|	
|War	|	25	|	105.76	|	1272.4	|	616.08	|	577.88	|	26.36	|	263.68	|	85.88	|	
|Film-Noir	|	4	|	49.5	|	1535.0	|	721.75	|	786.5	|	139.25	|	201.5	|	13.0	|	
|Western	|	10	|	145.7	|	1367.1	|	706.0	|	602.1	|	76.1	|	223.5	|	103.3	|	
|Music	|	5	|	110.4	|	1179.2	|	503.4	|	660.8	|	7.0	|	53.6	|	96.4	|	
|Mystery	|	97	|	137.90721649484536	|	1294.979381443299	|	608.7113402061856	|	621.0309278350516	|	14.268041237113403	|	168.91752577319588	|	90.9278350515464	|	
|Family	|	22	|	110.45454545454545	|	1385.8636363636363	|	740.5909090909091	|	561.3636363636364	|	36.95454545454545	|	208.22727272727272	|	59.63636363636363	|	
|Sport	|	2	|	229.0	|	1380.0	|	881.0	|	499.0	|	3.0	|	647.0	|	71.0	|	
|Fantasy	|	90	|	120.05555555555556	|	1213.9444444444443	|	627.4	|	526.8333333333334	|	29.6	|	227.74444444444444	|	73.33333333333333	|	
|Horror	|	134	|	124.38059701492537	|	1149.9402985074628	|	631.5671641791045	|	450.95522388059703	|	32.88805970149254	|	238.72388059701493	|	79.32089552238806	|	
|History	|	3	|	107.33333333333333	|	1302.0	|	594.0	|	600.6666666666666	|	1.6666666666666667	|	175.33333333333334	|	95.0	|	
|Romance	|	177	|	116.36723163841808	|	1367.1016949152543	|	596.6666666666666	|	710.1299435028249	|	25.084745762711865	|	176.85875706214688	|	84.26553672316385	|	
|Drama	|	541	|	123.10351201478743	|	1328.0961182994454	|	591.2809611829945	|	666.6044362292051	|	20.35674676524954	|	161.21441774491683	|	85.77264325323475	|	
|Biography	|	3	|	144.33333333333334	|	1352.6666666666667	|	543.0	|	756.0	|	8.333333333333334	|	57.666666666666664	|	123.0	|	
